ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,DIF,DEA,MACD,BOLL_MID,BOLL_UP,BOLL_LOW,RSV,K,D,J
601869.SH,2025-11-11,81.21,81.77,78.71,79.39,79.95,-0.56,-0.7004,75635.96,606934.715,39.82113448416811,-2.670611303031521,-1.6354629751843697,-2.0702966556943023,85.662,94.05573350215899,77.26826649784103,9.855072463768114,13.45951829221682,18.867010423520284,2.6445340296098934
601869.SH,2025-11-12,79.4,79.78,76.76,78.25,79.39,-1.14,-1.4359,62425.23,485990.374,38.565979877496005,-2.916852652154219,-1.8917409105783396,-2.050223483151759,85.274,94.29404644637373,76.25395355362627,14.016933207902122,13.645323264111923,17.126448037050466,6.683073718234837
601869.SH,2025-11-13,78.2,79.06,77.38,78.35,78.25,0.1,0.1278,55028.66,430152.505,38.74836152656633,-3.0685590920406014,-2.1271045468707923,-1.8829090903396182,84.90849999999999,94.44057168071652,75.37642831928346,17.825112107623195,15.03858621194902,16.430494095349886,12.254770445147287
601869.SH,2025-11-14,77.22,82.62,76.18,79.44,78.35,1.09,1.3912,150415.88,1199514.764,40.81100583934194,-3.0654965125551144,-2.3147829400076567,-1.5014271450949153,84.7505,94.54483665575765,74.95616334424236,34.68085106382972,21.58600782924261,18.14899867331429,28.46002614109925
601869.SH,2025-11-17,78.44,83.0,78.4,81.1,79.44,1.66,2.0896,127589.49,1029005.626,43.90890194422394,-2.895740970080112,-2.430974546022148,-0.9295328481159286,84.68900000000001,94.56245809414534,74.81554190585467,62.9156010230178,35.362538893834376,23.886845413488004,58.31392585452713
601869.SH,2025-11-18,80.31,83.46,78.62,81.2,81.1,0.1,0.1233,148378.71,1202668.366,44.098714213506014,-2.721764508368011,-2.4891325384913205,-0.4652639397533811,84.35,94.21326091054449,74.4867390894555,64.27656850192066,45.000548763196484,30.92474653005779,73.15215322947387
601869.SH,2025-11-19,81.44,86.5,80.18,83.68,81.2,2.48,3.0542,207696.68,1733886.202,48.73223473471726,-2.3566061465323855,-2.462627260099534,0.21204222713429655,83.9545,93.2110936101332,74.69790638986679,72.67441860465121,54.2251720436814,38.691555034599205,85.29240606184578
601869.SH,2025-11-20,86.0,86.58,78.0,78.41,83.68,-5.27,-6.2978,166592.22,1339632.38,40.96230188875911,-2.464056362797564,-2.4629130806391397,-0.0022865643168481498,83.601,93.14774460911046,74.05425539088954,21.44230769230761,43.29755059322347,40.22688688747399,49.43887800472244
601869.SH,2025-11-21,74.0,74.94,72.28,72.84,78.41,-5.57,-7.1037,108488.15,797925.562,34.67031279662359,-2.964491075110189,-2.5632286795333497,-0.8025247911536786,82.7485,92.95303000542302,72.543969994577,3.916083916083933,30.170395034176952,36.87472293637494,16.761739229780986
601869.SH,2025-11-24,74.2,75.42,72.7,73.64,72.84,0.8,1.0983,83485.72,615453.25,36.186441417099296,-3.258968515524799,-2.70237664673164,-1.1131837375863185,81.7615,91.44144840134132,72.08155159865868,9.510489510489508,23.28375985961447,32.34440191078808,5.162475757267259
